Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
WHLR,"Wheeler Real Estate Investment Trust, Inc.",1.66,16090829.86,n/a,2012,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/whlr
FLN,First Trust Latin America AlphaDEX Fund,21.3131,15984867.63,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fln
VICL,Vical Incorporated,0.6977,15936359.66,n/a,1993,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vicl
DAX,Global X DAX Germany ETF,26.5189,15911366.52,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dax
OTIV,On Track Innovations Ltd,0.3849,15894205.71,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/otiv
DRIV,Global X Autonomous & Electric Vehicles ETF,13.705,15761764.17,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/driv
PSCM,Invesco S&P SmallCap Materials ETF,44.8885,15710975,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pscm
TCON,"TRACON Pharmaceuticals, Inc.",0.523,15657290.01,n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/tcon
AWSM,Cool Holdings Inc.,1.89,15627523.59,n/a,n/a,Technology,Electronic Components,https://www.nasdaq.com/symbol/awsm
RCON,"Recon Technology, Ltd.",0.7459,15619618.15,n/a,2009,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/rcon
HJLI,"Hancock Jaffe Laboratories, Inc.",1.086,15536866.6,n/a,2018,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/hjli
SHIP,Seanergy Maritime Holdings Corp,0.6334,15450725.09,n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/ship
MYOS,MYOS RENS Technology Inc.,1.68,15406705.44,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myos
TTNP,"Titan Pharmaceuticals, Inc.",1.14,15401165.16,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ttnp
FLAG,Exchange Traded Concepts Trust FLAG-Forensic Accounting Long-S,38.48,15392000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/flag
TYHT,"Shineco, Inc.",0.67,15324087.24,n/a,2016,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/tyht
RBZ,Reebonz Holding Limited,2.45,15243811.8,n/a,2017,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/rbz
BSQR,BSQUARE Corporation,1.18,15148290.12,n/a,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/bsqr
DWCR,Arrow DWA Country Rotation ETF,27.51,15130500,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwcr
ISDS,Invesco RAFI Strategic Developed ex-US Small Company ETF,23.199,15079373.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/isds
HOVNP,Hovnanian Enterprises Inc,3,15000000,n/a,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/hovnp
NETE,"Net Element, Inc.",3.63,14935976.22,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/nete
SAEX,"SAExploration Holdings, Inc.",3.45,14802904.65,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/saex
CYAN,Cyanotech Corporation,2.51,14782850.82,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/cyan
